0.68886285	0.90393024
0.18849619	0.81257756
1.00000000	0.32697141
0.00000000	0.09237857
0.62168425	0.75949089
0.17731654	0.61171660
0.57060208	0.09873378
0.18522564	0.26617401
0.78768735	0.61842690
0.21758274	0.78783127
0.83630296	0.02470003
0.25375943	0.12026252
0.93834800	0.76594755
0.31869480	0.76153695
0.59541992	0.39829254
0.48810097	0.02853469
0.80363082	0.61621698
0.44917077	0.80396278
0.81457530	0.09291227
0.21372694	0.20679857
0.75516447	0.75429296
0.35167551	0.72024239
0.74084208	0.24690326
0.19342091	0.15433515
0.70052274	0.86102410
0.36126647	0.68586041
0.78027063	0.23116006
0.13431944	0.10883174
0.74746118	0.80867678
0.26431213	0.53249628
0.61844952	0.02218225
0.16689312	0.20922264
0.72676456	0.73945403
0.21435456	0.63810506
0.95444326	0.36191691
0.27406908	0.07800181
0.71137727	1.00000000
0.44832969	0.68111891
0.80410578	0.16704153
0.15089631	0.10387058
0.73170122	0.86157328
0.26137384	0.75946977
0.85602638	0.11119586
0.31887664	0.00000000
0.75448928	0.78662432
0.20502325	0.79652936
0.82905173	0.04429106
0.15831313	0.19106417
0.87315513	0.74407603
0.35652223	0.89925073
0.73467366	0.13253824
0.10333827	0.03125018
0.89762847	0.99420226
0.05805918	0.80559740
0.78331481	0.10313833
0.13411959	0.13312882
0.77053756	0.65757245
0.28049460	0.72957213
0.70896395	0.11209578
0.21614418	0.07005571
0.80975276	0.71333163
0.27571101	0.75528330
0.86816602	0.03025570
0.27539881	0.23564420
0.85269016	0.87187734
0.36826804	0.82837585
0.74970050	0.17755964
0.26703110	0.11985458
0.75369155	0.78399490
0.36152514	0.76114758
0.82314031	0.06498301
0.07634590	0.21720896
0.93717710	0.56874360
0.31766464	0.77748943
0.98343624	0.17721357
0.25313268	0.22104246
0.80876282	0.77215694
0.23606392	0.75149024
0.96488440	0.26189299
0.04640379	0.14024387
