8,126335,2241,2134.049384,0,0.781683626,,2610.748976
2,123793,1714,1789.986911,0,0.90064702,,
21,132738,1582,1457.926617,0,0.894502092,,
48,145906,1478,1405.917173,0,0.822313712,,
101,174086,1724,1737.977467,0,0.796400241,,
11,127865,1393,1365.909909,0,0.922545773,,
18,131533,1091,1053.853247,0,0.892045793,,
28,136110,1197,1181.876493,0,0.795417593,,
30,137585,1100,1085.859059,0,0.821544002,,
15,130259,914,833.8132934,0,0.815604347,,
17,131117,981,993.8423507,0,0.764778247,,
98,172027,984,993.8423507,0,0.724526761,,
6,125465,883,801.8074819,0,0.868117616,,
89,166633,804,725.7936797,0,0.677940149,,
67,154002,626,597.7704339,0,0.756211779,,
3,124204,801,809.8089348,0,0.879299575,,
64,152836,794,681.785689,0,0.727567397,,
29,136860,708,729.7944062,0,0.844149983,,
1,123373,686,709.790774,0,0.828488358,,
7,125564,612,677.7849626,0,0.725959859,,
93,168610,532,585.7682546,0,0.860486654,,
92,168592,529,497.7522731,0,0.86798042,,
10,127495,460,497.7522731,0,0.578653614,,
3601,1859039,410,437.7413766,0,0.81333944,,
83,162634,402,445.7428295,0,0.83463772,,
1314,755371,396,349.7253951,0,0.94940245,,
57,149739,310,353.7261216,0,0.655934217,,
63,152662,485,461.7457352,0,0.8403656,,
13,128959,516,465.7464617,0,0.807379493,,
27,135750,386,397.7341123,0,0.653762403,,
20,132135,427,405.7355652,0,0.83806031,,
42,144051,500,557.7631696,0,0.83914199,,
49,146684,498,481.7493674,0,0.896813274,,
1973,1076484,555,553.7624432,0,0.809084628,,
66,153475,519,533.758811,0,0.831911919,,
1731,963476,459,397.7341123,0,0.814688533,,
34,140321,455,473.7479145,0,0.844407562,,
19,131698,370,341.7239423,0,0.807742823,,
31,138431,488,473.7479145,0,0.827519411,,
38,141688,398,365.7283009,0,0.907860141,,
