149,150,47777,47622.58647,3.868597861,0.563135873,,3739468.703
152,153,32867,32251.98216,2.894727234,0.110144628,,
164,165,33940,31551.04255,3.48902475,0.366319172,,
588,593,63299,63143.39214,4.17705651,0.675107712,,
844,858,41355,40212.65345,4.364732197,0.788838158,,
160,161,23628,23390.10279,3.744201794,0.474878194,,
477,480,59715,57585.94237,3.664740852,0.438769351,,
353,356,66172,65696.815,4.029000181,0.591749755,,
1172,1196,45313,43717.3515,4.188202061,0.61115138,,
184,185,24618,21237.21685,3.11042733,0.171983444,,
109,110,53769,50025.80799,4.042533802,0.56208706,,
524,527,50054,48673.99589,4.310175011,0.689742366,,
603,608,43272,42766.07631,4.112359031,0.59783712,,
1185,1210,46839,43917.61996,4.004622217,0.590136324,,
1170,1193,29932,27245.27065,4.248078979,0.659272113,,
584,589,52244,51477.75433,3.931953909,0.547205162,,
896,912,24349,21137.08262,4.258326831,0.769307027,,
454,457,49581,49274.80127,3.985690083,0.591977304,,
1174,1198,43295,41914.93536,4.219009123,0.630269811,,
294,296,67310,68901.11036,4.174231169,0.636846485,,
908,924,25253,24040.97529,3.955747832,0.576486406,,
1114,1136,33024,30900.17005,4.174146076,0.657395229,,
1173,1197,32586,32702.58619,4.176732339,0.633402285,,
768,780,47048,44017.75419,3.370961571,0.281893579,,
316,318,63366,59939.09677,4.4469905,0.789663975,,
583,588,41842,41113.86152,3.680870895,0.438102383,,
94,95,22104,20235.87455,3.094643503,0.126098402,,
207,208,27775,27545.67334,2.85209721,0.052675175,,
1018,1036,30399,29698.55929,3.933846508,0.569433092,,
1059,1080,20557,19034.26378,3.981125651,0.491549101,,
32,32,44980,41814.80113,3.898054691,0.559986041,,
62,62,19381,20085.6732,3.731824983,0.348741015,,
738,750,23220,21036.94839,4.247286822,0.620753461,,
903,919,23445,22088.3578,3.981680529,0.58441003,,
1068,1089,27635,24441.51221,4.089361317,0.579321633,,
50,50,47006,48173.32474,4.334372208,0.730146635,,
159,160,14965,12675.74017,2.604744404,-0.213148271,,
641,648,37127,34955.60637,3.388598594,0.270524341,,
140,141,22020,20135.74032,3.512216167,0.305632049,,
172,173,14993,15028.89458,2.538284533,-0.056595678,,
